,Unnamed: 0,Unnamed: 0.1,birth,death,gender,hair,height,name,race,realm,spouse
312,312,312,,,Female,,,"Malva ""Headstrong"" Brandybuck",Hobbit,,Gormadoc Brandybuck
183,183,183,TA 2950,,Female,,,Daisy (Baggins) Boffin,Hobbits,,Griffo Boffin
237,237,237,First Age,,Female,,,Gildis,Men,,"Hador, Lórindol"
231,231,231,FA 415,FA 473,Female,Blonde,,Glóredhel,Men,,Haldir
23,23,23,SA 873,SA 1285,Female,,,Tar-Ancalimë,Men,Númenor,Hallacar
299,299,299,"Mid-,First Age",,Female,Brown,,Beldis,Men,,Handir
360,360,360,SR 1175,SR 1277,Male,,,Madoc Brandybuck,Hobbit,Buckland,Hanna Goldworthy
332,332,332,FA 417,FA 462,Male,,Tall,Galdor,Men,,Hareth
10,10,10,SA 2277,SA 2637,Female,,,Tar-Vanimeldë,Men,Númenor,Herucalmo
172,172,172,TA 2897,"Late ,Third Age",Female,,,Jessamine (Boffin) Bolger,Hobbits,,Herugar Bolger
358,358,358,TA 2948,,Male,,,Seredic Brandybuck,Hobbits,,Hilda Bracegirdle
289,289,289,SR 1256,,Female,,,Rosa (Baggins) Took,Hobbits,,Hildigrim Took
186,186,186,TA 2856,TA 2948,Female,,,Donnamira (Took) Boffin,Hobbits,,Hugo Boffin
47,47,47,FA 450,FA 473,Female,,,Rían,Men,,Huor
203,203,203,FA 443,FA 500,Female,"Dark, grey in old age",Tall,Morwen,Men,,Húrin Thalion
284,284,284,FA 472,None; sailed into the West and was accounted amongst the Eldar,Male,Golden,Tall,Tuor,Men,,Idril Celebrindal
66,66,66,"Unknown, Awakened in the ,Years of the Trees",,Female,,,Iminyë,Elves,,Imin
67,67,67,"Unknown, Awakened in the ,Years of the Trees",,Male,,,Imin,Elves,,Iminyë
204,204,204,,,Female,,,Mithrellas,Elves,,Imrazôr
7,7,7,SA 2960,SA 3177,Male,,,Ar-Gimilzôr,Men,Númenor,Inzilbêth
88,88,88,"Before the creation of ,Arda",Immortal,Female,,,Estë,Ainur,,Irmo
117,117,117,TA 2838,"After ,TA 2929",Male,Brown (film),,Dírhael,Men,,Ivorwen
184,184,184,"Late ,Third Age","Late ,Third Age",Male,,,Buffo Boffin,Hobbits,,Ivy Goodenough
382,382,382,TA 2878,TA 2980,Male,,,Fortinbras Took II,Hobbits,,Lalia Clayhanger
402,402,402,TA 2807,TA 2900,Male,,,Mungo Baggins,Hobbits,,Laura Grubb
176,176,176,TA 2812,TA 2900,Male,,,Otto Boffin,Hobbits,,Lavender Grubb
325,325,325,SR 1313,Between SR 1401-1418,,,3'8',Letter 211,,,Lilah Took
238,238,238,TA 2941,FO 20,Male,,,Tolman Cotton,Hobbits,,Lily Brown
273,273,273,YT,,Female,,,Vairë (Elf),Elves,,Lindo
120,120,120,TA 2910,TA 3012,Male,,"1.22m (4'0"")",Otho Sackville-Baggins,Hobbits,,Lobelia Sackville-Baggins
94,94,94,TA 2990,FO 63,Male,Dirty blond,Tall-6'6,Éomer,Men,Rohan,Lothíriel after the War of the Ring
448,448,448,FA 361,FA 455,Female,Dark brown,,Andreth,Men,,Love Aegnor
30,30,30,YT 1300,FA 465,Male,Golden,,Finrod,Elves,,Love Amarië
194,194,194,YT,TA 1981,Female,Possibly golden,,Nimrodel,Elves,,Love Amroth
463,463,463,"YT during the ,Noontide of Valinor",FA 455,Male,Golden,,Aegnor,Elves,,Love Andreth
454,454,454,YT,Still alive,Female,,,Amarië,Elves,,Love Finrod
189,189,189,FA 432,FA 466,Male,Dark,Tall,Beren,Men,,Lúthien Tinúviel
230,230,230,,,Female,,,Hanna (Goldworthy) Brandybuck,Hobbit,,Madoc Brandybuck
227,227,227,SR 1134,SR 1236,Male,,,"Gormadoc ""Deepdelver"" Brandybuck",Hobbits,Buckland,Malva Headstrong
274,274,274,Before the creation of Arda,Immortal,Female,,,Vairë,Ainur,"Valinor,Halls of Mandos",Mandos
269,269,269,Before the creation of Arda,Immortal,Female,,,Varda,Ainur,Arda,Manwë
242,242,242,TA 2980,FO 60,Male,,,Tolman Cotton Jr.,Hobbits,,Marigold Cotton
364,364,364,TA 2818,,Female,,,Adaldrida (Bolger) Brandybuck,Hobbits,,Marmadoc Brandybuck
315,315,315,FA 307,FA 398,Male,,,Malach,Men,,Meldis
391,391,391,YT 1050,FA 502,Male,Silver,"Tallest of the Elven-folk, 8'2""",Thingol,Elves,Doriath,Melian
361,361,361,TA 2985,"Before ,FO 63",Female,Dark Blonde,,Estella (Bolger) Brandybuck,Hobbits,,Meriadoc Brandybuck
310,310,310,TA 2950,,Female,,,Peony (Baggins) Burrows,Hobbits,,Milo Burrows
309,309,309,TA 2816,TA 2911,Male,,,Ponto Baggins,Hobbits,,Mimosa Bunce
29,29,29,"YT, and perhaps Firstborn",YT 1495,Male,Black,,Finwë,Elves,"Tirion,Formenos","Míriel Serindë then ,Indis"
63,63,63,TA 1950,TA 2076,Male,,,Imrazôr,Men,,Mithrellas
72,72,72,FA 441,FA 502,Male,"Golden, grey (in old age)",,Húrin,Men,,Morwen Eledhwen
392,392,392,TA 2905,TA 2980,Male,,,Thengel,Men,Rohan,Morwen Steelsheen
261,261,261,Possibly pre First Age,Unknown; possibly still alive,Most likely male,None,Huge,Watcher in the Water,Urulóki,Doors of Durin,Most likely none
51,51,51,TA 2904,TA 3005,Male,Brown Gray (movie),,Odo Proudfoot,Hobbits,,Mrs. Proudfoot
399,399,399,TA 2814,TA 2916,Female,,,Laura (Grubb) Baggins,Hobbits,,Mungo Baggins
337,337,337,YT 1169,YT 1497,Male,Raven,Tall,Fëanor,Elves,"Tirion,Formenos",Nerdanel
286,286,286,"Before the creation of ,Arda",Immortal,Male,Golden,,Tulkas,Ainur,"Valinor,House of Tulkas",Nessa
280,280,280,FA 464,FA 499,Male,Dark,Tall,Túrin,Men,,Nienor
157,157,157,"FA 470, ","FA 506, ",Male,Possibly dark,,Dior,Half-elven,Doriath,Nimloth
451,451,451,,TA 1981,Male,Golden,,Amroth,Elves,Lórien,Nimrodel
220,220,220,"Unknown, possibly during the ,First Age",FA 495,Male,Became grey in captivity,,Gwindor,Elves,,love Finduilas
33,33,33,First Age,FA 495,Female,Golden,,Finduilas,Elves,,love Gwindor
52,52,52,"Late ,Third Age",,Female,,,Mrs. Proudfoot,Hobbits,,Odo Proudfoot
170,170,170,TA 2938,,Female,,,Rosamunda (Took) Bolger,Men,,Odovacar Bolger
456,456,456,"Between ,SA 700, and ,SA 750","Early ,Second Age",Female,,,Ailinel,Men,,Orchaldor
277,277,277,"Before the creation of ,Arda",Immortal,Female,,,Uinen,,,Ossë
43,43,43,TA 2918,TA 3020,Female,,"1.17m (3'10"")",Lobelia Sackville-Baggins,Hobbit,,Otho Sackville-Baggins
112,112,112,"Late ,Third Age",Late Third Age,Female,,,Eglantine (Banks) Took,Hobbits,,Paladin Took II
36,36,36,SR 1210,,Male,,,Fastolph Bolger,Hobbits,Shire,Pansy Baggins
350,350,350,SR 1347,,Male,,,Milo Burrows,Hobbits,,Peony Baggins
158,158,158,TA 2995,"Before ,FO 63",Female,Brown (film),,Diamond Took,Hobbits,,Peregrin Took
174,174,174,TA 2942,FO 22,Male,Brown (movie),,Filibert Bolger,Hobbits,,Poppy Chubb-Baggins
368,368,368,TA 2865,,Male,,,Blanco Bracegirdle,Hobbits,,Primrose Boffin
405,405,405,TA 2908,TA 2980,Male,,,Drogo Baggins,Hobbits,,Primula Brandybuck
169,169,169,TA 2904,TA 3000,Male,,,Wilibald Bolger,Hobbits,,Prisca Baggins
76,76,76,FA 442,FA 473,Male,Golden,Tallest of all mortal men save his son Tuor only,Huor,Men,,Rían
182,182,182,"before ,TA 2860",,Female,,,Druda Burrows Boffin,Hobbits,,Rollo Boffin
374,374,374,SR 1240,SR 1341,Male,,,Hildigrim Took,Hobbits,,Rosa Baggins
171,171,171,TA 2935,FO 10,Male,,,Odovacar Bolger,Hobbits,,Rosamunda Took
329,329,329,"April 6 ,2980","Still alive, after going to the ,Undying Lands, in ,FO 61",Male,Blond (movie),"1.22m (4'0"")",Samwise Gamgee,Hobbits,,Rosie Cotton
136,136,136,TA 2846,,Male,,,Hob Gammidge,Hobbit,,Rowan
403,403,403,TA 2864,TA 2960,male,,,Fosco Baggins,Hobbits,,Ruby Bolger
353,353,353,TA 2913,TA 3012,Female,,,Asphodel (Brandybuck) Burrows,Hobbit,,Rufus Burrows
239,239,239,TA 2984,FO 61,Female,Light brown (film),,Rosie Cotton,Hobbits,,Sam Gamgee
363,363,363,TA 2936,,Female,,,Esmeralda Brandybuck,Hobbits,,Saradoc Brandybuck
362,362,362,TA 2954,,Female,,,Hilda Brandybuck,Hobbits,,Seredic Brandybuck
110,110,110,"Early ,Second Age",Early Second Age ,Male,,,Elatan,Men,,Silmariën
89,89,89,SA 771,SA 985,Female,Dark,,Erendis,Men,Númenor,Tar-Aldarion
149,149,149,SA 852,SA 1211,Male,,,Hallacar,Men,,Tar-Ancalimë
457,457,457,,,Female,,,Almarian,Men,Númenor,Tar-Meneldur
5,5,5,SA 3118,Still alive,Male,,Tall,Ar-Pharazôn,Men,Númenor,Tar-Míriel
137,137,137,SA 2286,SA 2657,Male,,,Herucalmo,Men,,Tar-Vanimeldë
187,187,187,"Early  ,Third Age",,Female,,,Berúthiel,Men,Gondor,Tarannon Falastur
394,394,394,"Unknown, awakened in the ,Years of the Trees",,Female,,,Tatië,Elves,,Tata
396,396,396,"Unknown, awakened in the ,Years of the Trees",,Male,,,Tata,Elves,,Tatië
27,27,27,TA 2922,,Female,Dark,Tall,Morwen Steelsheen,Men,Rohan,Thengel
193,193,193,SR 1261,,Female,,,Nina Lightfoot,Hobbits,Shire,Theobald Bolger
102,102,102,TA 2950,TA 2978,Female,,,Elfhild,Men,Rohan,Théoden
164,164,164,TA 2961,TA 3002,Male,Blond,,Éomund,Men,,Théodwyn
207,207,207,"Before the creation of ,Arda","Did not die being a ,Maia returned to ,Valinor, after the death of her husband Thingol",Female,Dark,,Melian,Ainur,Doriath,Thingol
240,240,240,TA 2983,,Female,,,Marigold (Gamgee) Cotton,Hobbits,,Tolman Cotton
196,196,196,"Before the creation of ,Arda",Immortal,Female,,Varies,Nessa,Ainur,Valinor,Tulkas
68,68,68,YT 1469,Still Alive,Female,Golden,Tall,Idril,Elves,,Tuor
103,103,103,YT,YT 1500,Female,Golden,Tall,Elenwë,Elves,,Turgon
192,192,192,FA 473,FA 499,Female,Golden,Tall,Niënor,Men,,Túrin Turambar
351,351,351,TA 2857,,Female,,,Sapphira (Brockhouse) Boffin,Hobbits,,Uffo Boffin
122,122,122,"Before the creation ,Arda",Immortal,Male,,,Ossë,Ainur,,Uinen
323,323,323,"Late ,Second Age",Late Second Age ,Female,,,Lindórië,Men,,Unnamed husband
46,46,46,c. T.A. 2328,,Female,,,Rían (Gondor),Men,,Unnamed husband
202,202,202,"Late 26th century ,Third Age","Late ,Third Age",Female,,,Morwen (Gondor),Men,,Unnamed husband
1,1,1,TA 280,TA 515,Male,,,Tarcil,Men,Arnor,Unnamed wife
2,2,2,SA 2709,SA 2962,Male,,,Ar-Adûnakhôr,Men,Númenor,Unnamed wife
4,4,4,SA 3219,SA 3440,Male,,,Anárion,Men,Gondor,Unnamed wife
6,6,6,SA 2876,SA 3102,Male,,,Ar-Sakalthôr,Men,Númenor,Unnamed wife
8,8,8,TA 2866,TA 2977,Male,,,Angelimir,Men,,Unnamed wife
11,11,11,SA 2136,SA 2526,Male,,,Tar-Telemmaitë,Men,Númenor,Unnamed wife
12,12,12,SA 1174,SA 1574,Male,,,Tar-Súrion,Men,Númenor,Unnamed wife
13,13,13,SA 3035,SA 3255,Male,,,Tar-Palantir,Men,Númenor,Unnamed wife
15,15,15,SA 1474,SA 1873,Male,,,Tar-Minastir,Men,Númenor,Unnamed wife
16,16,16,SA 350,SA 751,Male,,,Tar-Elendil,Men,Númenor,Unnamed wife
17,17,17,SA 2516,SA 2825,Male,,,Tar-Calmacil,Men,Númenor,Unnamed wife
18,18,18,SA 1800,SA 2221,Male,,,Tar-Atanamir,Men,Númenor,Unnamed wife
20,20,20,SA 2618,SA 2899,Male,,,Tar-Ardamin,Men,Númenor,Unnamed wife
21,21,21,SA 1634,SA 2035,Male,,,Tar-Ciryatan,Men,Númenor,Unnamed wife
22,22,22,SA 1003,SA 1404,Male,,,Tar-Anárion,Men,Númenor,Unnamed wife
24,24,24,SA 1986,SA 2386,Male,,,Tar-Ancalimon,Men,Númenor,Unnamed wife
25,25,25,SA 192,SA 603,Male,,,Tar-Amandil,Men,Númenor,Unnamed wife
26,26,26,SA 2406,SA 2737,Male,,,Tar-Alcarin,Men,Númenor,Unnamed wife
35,35,35,TA 2701,TA 2801,Male,,,Ferumbras Took II,Hobbits,,Unnamed wife
37,37,37,TA 2560,TA 2803,Male,,,Farin,Dwarves,,Unnamed wife
39,39,39,TA 570,TA 830,Male,,,Siriondil,Men,Gondor,Unnamed wife
42,42,42,SR 1179,,Male,,,Sadoc Brandybuck,Hobbits,,Unnamed wife
44,44,44,TA 1126,TA 1366,Male,,,Rómendacil II,Men,Gondor,Unnamed wife
45,45,45,TA 310,TA 541,Male,,,Rómendacil I,Men,Gondor,Unnamed wife
54,54,54,"After ,SA 1320","Before ,SA 1731",Male,,,Isilmo,Men,,Unnamed wife
55,55,55,SA 3209,TA 2,Male,Black,Very tall almost 7'1,Isildur,Men,"Arnor,Gondor",Unnamed wife
60,60,60,"YT, and perhaps firstborn",Still Alive,Male,Probably Golden,Tall,Ingwë,Elves,"Valinor,Taniquetil",Unnamed wife
61,61,61,"Mid ,First Age",FA 495,Male,,,Indor,Men,,Unnamed wife
64,64,64,TA 2955,FO 34,Male,Black,Tall,Imrahil,Men,,Unnamed wife
65,65,65,around FA 325,First Age,Male,,,Imlach,Men,,Unnamed wife
70,70,70,TA 2515,TA 2628,Male,,,Húrin II,Men,,Unnamed wife
71,71,71,TA 2124,TA 2244,Male,,,Húrin I,Men,,Unnamed wife
74,74,74,TA 1391,TA 1621,Male,,,Hyarmendacil II,Men,Gondor,Unnamed wife
75,75,75,TA 899,TA 1149,Male,,,Hyarmendacil I,Men,Gondor,Unnamed wife
77,77,77,"Late ,FA",FA 499,Male,,,Hunthor,Men,,Unnamed wife
78,78,78,"Late ,First Age",FA 473,Male,,,Hundar,Men,,Unnamed wife
79,79,79,"Mid ,FA",Mid FA ,Male,,,Hundad,Men,,Unnamed wife
82,82,82,TA 1883,TA 2043,Male,,,Eärnil II,Men,Gondor,Unnamed wife
83,83,83,TA 736,TA 936,Male,,,Eärnil I,Men,Gondor,Unnamed wife
84,84,84,SA 361,"Early ,Second Age",Male,,,Eärendur of Númenor,Men,,Unnamed wife
85,85,85,TA 640,TA 861,Male,,,Eärendur of Arnor,,,Unnamed wife
86,86,86,TA 48,TA 324,Male,,,Eärendil of Gondor,Men,Gondor,Unnamed wife
91,91,91,TA 1999,TA 2116,Male,,,Eradan,Men,,Unnamed wife
93,93,93,TA 2485,TA 2545,Male,Blond,,Eorl the Young,Men,Rohan,Unnamed wife
99,99,99,FA 532,SA 442,Male,,,Elros,Half-elven,Númenor,Unnamed wife
101,101,101,TA 2987,FO 57,Male,,,Elphir,Men,,Unnamed wife
104,104,104,TA 552,TA 777,Male,,,Elendur of Arnor,Men,Arnor,Unnamed wife
105,105,105,SA 3299,TA 2,Male,,,Elendur,Men,,Unnamed wife
106,106,106,SA 3119,SA 3441 ,Male,Brown,"7' 10""",Elendil,Men,"Arnor,Gondor",Unnamed wife
108,108,108,TA 1255,TA 1490,Male,,,Eldacar (King of Gondor),Men,Gondor,Unnamed wife
109,109,109,TA 87,TA 339,Male,,,Eldacar (King of Arnor),Men,Arnor,Unnamed wife
114,114,114,TA 2626,TA 2743,Male,,,Egalmoth,Men,,Unnamed wife
115,115,115,TA 2886,TA 2984,Male,,,Ecthelion II,Men,,Unnamed wife
118,118,118,TA 3011,,Male,,,Borlas,Men,,Unnamed wife
119,119,119,"Late ,First Age",FA 473,Male,,,Borlad,Men,,Unnamed wife
121,121,121,TA 222,TA 492,Male,,,Ostoher,Men,Gondor,Unnamed wife
123,123,123,First Age,SA 3434,Male,,,Oropher,Elves,Woodland Realm,Unnamed wife
125,125,125,TA 2576,TA 2685,Male,,,Orodreth (Steward),Men,,Unnamed wife
126,126,126,YT,"FA 495 ,Battle of Tumhalad",Male,Golden,,Orodreth,Elves,Nargothrond,Unnamed wife
128,128,128,TA 1787,TA 1944,Male,,,Ondoher,Men,Gondor,Unnamed wife
129,129,129,Possibly Firstborn,Still Alive,Male,Silver,,Olwë,Elves,"Tol Eressëa,Alqualondë",Unnamed wife
130,130,130,TA 2923,"Early ,Fourth Age",Male,,,Old Noakes,Hobbits,,Unnamed wife
132,132,132,Late Second Age ,SA 3065,Male,,,Númendil,Men,,Unnamed wife
133,133,133,TA 2338,TA 2585,Male,,,Náin II,Dwarves,Grey Mountains,Unnamed wife
134,134,134,TA 1832,TA 1981,Male,,,Náin I,Dwarves,Khazad-dûm,Unnamed wife
135,135,135,TA 2665,TA 2799,Male,,,Náin (father of Dáin II Ironfoot),Dwarves,,Unnamed wife
138,138,138,"Late-,Third Age","March 15 ,3019",Male,,,Herubrand,Men,,Unnamed wife
139,139,139,TA 2037,TA 2148,Male,,,Herion,Men,,Unnamed wife
140,140,140,"Late-,Third Age","March 15 ,3019",Male,Gray,,Herefara,Men,,Unnamed wife
141,141,141,TA 2691,TA 2759,Male,,,Helm Hammerhand,Men,Rohan,Unnamed wife
142,142,142,"Sometime before ,SA 799",,Male,,,Hatholdir,Men,,Unnamed wife
145,145,145,TA 2760,,Male,,,Hamfast of Gamwich,Hobbit,,Unnamed wife
146,146,146,"Late ,First Age",Late First Age ,Male,,,Halmir,Men,,Unnamed wife
147,147,147,SA 711,"Mid ,Second Age",Male,,,Hallatan,Men,,Unnamed wife
148,148,148,TA 2480,TA 2605,Male,,,Hallas (Steward),Men,,Unnamed wife
152,152,152,TA 2245,TA 2395,Male,,,Hador (Steward),Men,,Unnamed wife
153,153,153,TA 2767,"March 17 ,3019",Male,,4'5 - 5' (Estimate) ,Dáin II Ironfoot,Dwarves,Lonely Mountain,Unnamed wife
154,154,154,TA 2440,TA 2589,Male,,,Dáin I,Dwarves,Grey Mountains,Unnamed wife
155,155,155,"Late-,Third Age","Early-,Fourth Age",Male,Dark (Decipher Card),Tall,Duinhir,Men,,Unnamed wife
160,160,160,TA 2375,TA 2477,Male,,,Denethor I,Men,,Unnamed wife
162,162,162,"During the ,Noontide of Valinor",FA 506,Male,Dark,,Curufin,Elves,Himlad,Unnamed wife
163,163,163,TA 2238,TA 2488,Male,,,Óin (King of Durin's Folk),Men,Grey Mountains,Unnamed wife
165,165,165,"c. ,TA 2544",,Male,,,Éofor,Men,,Unnamed wife
167,167,167,"Late-,Third Age","Early-,Fourth Age",Male,,,Wídfara,Men,,Unnamed wife
177,177,177,TA 2894,TA 2986,Male,,,Jago Boffin,Hobbits,,Unnamed wife
185,185,185,TA 2767,TA 2858,Male,,,Bosco Boffin,Hobbits,,Unnamed wife
188,188,188,TA 2655,TA 2763,Male,,,Beren (Steward),Men,,Unnamed wife
190,190,190,"Mid ,First Age",,Male,,,Beren (Belemir's son),Men,,Unnamed wife
191,191,191,SA 222,"Early ,Second Age",Male,,,Nolondil,Men,,Unnamed wife
198,198,198,TA 1684,TA 1856,Male,,,Narmacil II,Men,,Unnamed wife
200,200,200,"Early ,First Age",FA 502,Male,,,Mîm,Dwarves,,Unnamed wife
205,205,205,TA 1454,TA 1634,Male,,,Minardil,Men,Gondor,Unnamed wife
