,Unnamed: 0,birth,death,gender,hair,height,name,race,realm,spouse,birth_y,death_y,lifelong_y
112,115,SA 1634,SA 2035,Male,,,Tar-Ciryatan,Men,Númenor,Unnamed wife,2234,2635,401
113,116,SA 1800,SA 2221,Male,,,Tar-Atanamir,Men,Númenor,Unnamed wife,2400,2821,421
114,117,SA 1986,SA 2386,Male,,,Tar-Ancalimon,Men,Númenor,Unnamed wife,2586,2986,400
115,118,SA 2136,SA 2526,Male,,,Tar-Telemmaitë,Men,Númenor,Unnamed wife,2736,3126,390
116,119,SA 2277,SA 2637,Female,,,Tar-Vanimeldë,Men,Númenor,Herucalmo,2877,3237,360
117,120,SA 2286,SA 2657,Male,,,Herucalmo,Men,,Tar-Vanimeldë,2886,3257,371
118,121,SA 2406,SA 2737,Male,,,Tar-Alcarin,Men,Númenor,Unnamed wife,3006,3337,331
119,122,SA 2516,SA 2825,Male,,,Tar-Calmacil,Men,Númenor,Unnamed wife,3116,3425,309
120,123,SA 2618,SA 2899,Male,,,Tar-Ardamin,Men,Númenor,Unnamed wife,3218,3499,281
121,124,SA 2709,SA 2962,Male,,,Ar-Adûnakhôr,Men,Númenor,Unnamed wife,3309,3562,253
122,125,SA 2798,SA 3033,Male,,,Ar-Zimrathôn,Men,Númenor,Unnamed wife,3398,3633,235
123,126,SA 2876,SA 3102,Male,,,Ar-Sakalthôr,Men,Númenor,Unnamed wife,3476,3702,226
124,127,SA 2960,SA 3177,Male,,,Ar-Gimilzôr,Men,Númenor,Inzilbêth,3560,3777,217
125,128,SA 3044,SA 3243,Male,,,Gimilkhâd,Men,,Unnamed wife,3644,3843,199
126,129,SA 3035,SA 3255,Male,,,Tar-Palantir,Men,Númenor,Unnamed wife,3635,3855,220
127,130,SA 3117,SA 3319,Female,,,Tar-Míriel,Men,Númenor,Ar-Pharazôn,3717,3919,202
128,131,SA 3219,SA 3440,Male,,,Anárion,Men,Gondor,Unnamed wife,3819,4040,221
129,132,FA 450,SA 3441,Male,Possibly golden (book) Dark brown (movie),Tall,Gil-galad,Elves,"Havens of Sirion,Lindon",,450,4041,3591
130,133,SA 3119,SA 3441 ,Male,Brown,"7' 10""",Elendil,Men,"Arnor,Gondor",Unnamed wife,3719,4041,322
131,134,FA 532,SA 442,Male,,,Elros,Half-elven,Númenor,Unnamed wife,532,1042,510
132,135,SA 61,SA 471,Male,,,Vardamir Nólimon,Men,Númenor,Unnamed wife,661,1071,410
133,136,SA 192,SA 603,Male,,,Tar-Amandil,Men,Númenor,Unnamed wife,792,1203,411
134,137,SA 350,SA 751,Male,,,Tar-Elendil,Men,Númenor,Unnamed wife,950,1351,401
135,138,SA 512,SA 900,Male,,,Caliondo,Men,,Unnamed wife,1112,1500,388
136,139,SA 543,SA 942,Male,,,Tar-Meneldur,Men,Númenor,Almarian,1143,1542,399
137,140,SA 771,SA 985,Female,Dark,,Erendis,Men,Númenor,Tar-Aldarion,1371,1585,214
138,141,Before CA,Still alive,Female,Star-like ,,Eärwen,Elves,,Finarfin,-1,7291,7292
139,142,Before CA,Still alive,Female,,,Amarië,Elves,,"Loved ,Finrod, but it is unknown whether they married",-1,7291,7292
140,143,Before CA,Still alive,Male,Golden,,Finarfin,Elves,Tirion,Eärwen,-1,7291,7292
141,144,Before CA,Still alive,Female,Golden,Tall,Idril,Elves,,Tuor,-1,7291,7292
142,145,Before CA,Still alive,Male,Probably Golden,Tall,Ingwë,Elves,"Valinor,Taniquetil",Unnamed wife,-1,7291,7292
143,146,Before CA,Still alive,Female,Reddish brown,,Nerdanel,Elves,,Fëanor,-1,7291,7292
144,147,Before CA,Still alive,Male,Silver,Tall,Celeborn,Elves,"Eregion,Lothlórien,Caras Galadhon",Galadriel,-1,7291,7292
145,148,Before CA,Still alive,Male,"Silver, bearded",Very tall,Círdan,Elves,,Presumably none,-1,7291,7292
146,149,Before CA,Still alive,Female,Golden,Tall,Galadriel,Elves,"Eregion,Lothlórien,Caras Galadhon",Celeborn,-1,7291,7292
147,150,Before CA,Still alive,Female,,,Meril-i-Turinqi,Elves,Tol Eressëa,,-1,7291,7292
148,151,Before CA,Still alive,Male,Probably Golden,,Ingwion,Elf,,,-1,7291,7292
149,152,FA 503,Still alive,Male,Golden,,Eärendil,Half-elven,,Elwing,503,7291,6788
150,153,FA 503,Still alive,Female,Dark,,Elwing,Half-elven,,Eärendil,503,7291,6788
151,154,FA 532,Still alive,Male,Dark,Tall,Elrond,Half-elven,Rivendell,Celebrían,532,7291,6759
152,155,FO 2,Still alive,Male,,,Frodo Gardner,Hobbits,,Unnamed wife,7073,7291,218
153,156,SA 3118,Still alive,Male,,Tall,Ar-Pharazôn,Men,Númenor,Tar-Míriel,3718,7291,3573
154,157,SA 350,Still alive,Female,Possibly silver,,Celebrían,Elves,,Elrond,950,7291,6341
155,158,TA 2995,Still alive,Female,Pale gold,Tall,Éowyn,Men,,Faramir,7045,7291,246
156,159,TA 820,TA 1015,Male,,,Ciryandil,Men,Gondor,Unnamed wife,4870,5065,195
157,160,TA 811,TA 1029,Male,,,Beleg of Arnor,Men,"Arnor,Arthedain",Unnamed wife,4861,5079,218
158,161,TA 895,TA 1110,Male,,,Mallor,Men,"Arthedain,Arnor",Unnamed wife,4945,5160,215
159,162,TA 899,TA 1149,Male,,,Hyarmendacil I,Men,Gondor,Unnamed wife,4949,5199,250
160,163,TA 979,TA 1191,Male,,,Celepharn,Men,Arthedain,Unnamed wife,5029,5241,212
161,164,TA 977,TA 1226,Male,,,Atanatar II,Men,Gondor,Unnamed wife,5027,5276,249
162,165,TA 1062,TA 1272,Male,,,Celebrindor,Men,Arthedain,Unnamed wife,5112,5322,210
163,166,TA 1049,TA 1294,Male,,,Narmacil I,Men,Gondor,"Unknown, possibly none as he had no children",5099,5344,245
164,167,TA 1058,TA 1304,Male,,,Calmacil,Men,Gondor,Unnamed wife,5108,5354,246
165,168,TA 1255,TA 1344,Female,,,Vidumavi,Men,,Valacar,5305,5394,89
166,169,TA 1144,TA 1349,Male,,,Malvegil,Men,Arthedain,Unnamed wife,5194,5399,205
167,170,TA 1226,TA 1356,Male,,,Argeleb I,Men,"Arthedain,Arnor",Unnamed wife,5276,5406,130
168,171,TA 1126,TA 1366,Male,,,Rómendacil II,Men,Gondor,Unnamed wife,5176,5416,240
169,172,TA 1309,TA 1409,Male,,,Arveleg I,Men,"Arnor,Arthedain",Unnamed wife,5359,5459,100
170,173,TA 1194,TA 1432,Male,,,Valacar,Men,Gondor,Vidumavi,5244,5482,238
171,174,TA 1259,TA 1447,Male,,,Castamir the Usurper,Men,Gondor,Unnamed wife,5309,5497,188
172,175,TA 1255,TA 1490,Male,,,Eldacar (King of Gondor),Men,Gondor,Unnamed wife,5305,5540,235
173,176,TA 1330,TA 1540,Male,,,Aldamir,Men,Gondor,Unnamed wife,5380,5590,210
174,177,SA 3318,TA 158,Male,,,Meneldil,Men,Gondor,Unnamed wife,3918,4208,290
175,178,TA 1391,TA 1589,Male,,,Araphor,Men,Arthedain,Unnamed wife,5441,5639,198
176,179,TA 1557,TA 1601,Male,,,Marcho,Hobbits,,,5607,5651,44
177,180,TA 1560,TA 1601,Male,,,Blanco,Hobbits,,,5610,5651,41
178,181,TA 1391,TA 1621,Male,,,Hyarmendacil II,Men,Gondor,Unnamed wife,5441,5671,230
179,182,TA 1454,TA 1634,Male,,,Minardil,Men,Gondor,Unnamed wife,5504,5684,180
180,183,TA 1516,TA 1636,Male,,,Telemnar,Men,Gondor,Unnamed wife,5566,5686,120
181,184,TA 1473,TA 1670,Male,,,Argeleb II,Men,Arthedain,Unnamed wife,5523,5720,197
182,185,TA 1553,TA 1743,Male,,,Arvegil,Men,"Arthedain,Arnor",Unnamed wife,5603,5793,190
183,186,TA 1577,TA 1798,Male,,,Tarondor,Men,Gondor,Unnamed wife,5627,5848,221
184,187,TA 1633,TA 1813,Male,,,Arveleg II,Men,"Arthedain,Arnor",Unnamed wife,5683,5863,180
185,188,TA 1632,TA 1850,Male,,,Telumehtar,Men,Gondor,Unnamed wife,5682,5900,218
186,189,TA 1684,TA 1856,Male,,,Narmacil II,Men,,Unnamed wife,5734,5906,172
187,190,TA 1711,TA 1891,Male,,,Araval,Men,"Arthedain,Arnor",Unnamed wife,5761,5941,180
188,191,TA 1736,TA 1936,Male,,,Calimehtar,Men,Gondor,Unnamed wife,5786,5986,200
189,192,TA 1787,TA 1944,Male,,,Ondoher,Men,Gondor,Unnamed wife,5837,5994,157
190,193,TA 1789,TA 1964,Male,,,Araphant,Men,Arthedain,Unnamed wife,5839,6014,175
191,194,TA 1864,TA 1975,Male,,,Arvedui,Men,Arthedain,Fíriel,5914,6025,111
192,195,Before CA,TA 1981,Female,Possibly golden,,Nimrodel,Elves,,"Loved ,Amroth",-1,6031,6032
193,196,TA 1832,TA 1981,Male,,,Náin I,Dwarves,Khazad-dûm,Unnamed wife,5882,6031,149
194,197,TA 1879,TA 1998,Male,,,Pelendur,Men,,,5929,6048,119
195,198,SA 3209,TA 2,Male,Black,Very tall almost 7'1,Isildur,Men,"Arnor,Gondor",Unnamed wife,3809,4052,243
196,199,SA 3299,TA 2,Male,,,Elendur,Men,,Unnamed wife,3899,4052,153
197,200,SA 3379,TA 2,Male,,,Ciryon,Men,,"Unknown, possibly known",3979,4052,73
198,201,TA 1967,TA 2000,Male,,,Fram,Men,,"Unknown, probably as he had descendants",6017,6050,33
199,202,TA 1940,TA 2001,Male,,,Frumgar,Men,,Unnamed wife,5990,6051,61
200,203,TA 1919,TA 2029,Male,,,Vorondil,Men,,Unnamed wife,5969,6079,110
201,204,TA 1930,TA 2031,Male,,,Bucca of the Marish,Hobbits,,,5980,6081,101
202,205,TA 1883,TA 2043,Male,,,Eärnil II,Men,Gondor,Unnamed wife,5933,6093,160
203,206,TA 1928,TA 2050,Male,,,Eärnur,Men,Gondor,None,5978,6100,122
204,207,TA 1950,TA 2076,Male,,,Imrazôr,Men,,Mithrellas,6000,6126,126
205,208,TA 1960,TA 2080,Male,,,Mardil Voronwë,Men,,Unnamed wife,6010,6130,120
206,209,TA 1938,TA 2106,Male,,,Aranarth,Men,,Unnamed wife,5988,6156,168
207,210,TA 1999,TA 2116,Male,,,Eradan,Men,,Unnamed wife,6049,6166,117
208,211,TA 2004,TA 2129,Male,,,Galador,Half-elven,,Unnamed wife,6054,6179,125
209,212,TA 2037,TA 2148,Male,,,Herion,Men,,Unnamed wife,6087,6198,111
210,213,TA 2012,TA 2177,Male,,,Arahael,Men,,Unnamed wife,6062,6227,165
211,214,TA 1934,TA 2190,Male,,,Thráin I,Dwarves,Khazad-dûm,Unnamed wife,5984,6240,256
212,215,TA 2074,TA 2204,Male,,,Belegorn,Men,,Unnamed wife,6124,6254,130
213,216,TA 2124,TA 2244,Male,,,Húrin I,Men,,Unnamed wife,6174,6294,120
214,217,TA 2084,TA 2247,Male,,,Aranuir,Men,,Unnamed wife,6134,6297,163
215,218,TA 2165,TA 2278,Male,,,Túrin I,Men,,Unnamed wife,6215,6328,113
216,219,TA 2035,TA 2289,Male,,,Thorin I,Dwarves,"Lonely Mountain,Grey Mountains",Unnamed wife,6085,6339,254
217,220,TA 2156,TA 2319,Male,,,Aravir,Men,,Unnamed wife,6206,6369,163
218,221,TA 2227,TA 2327,Male,,,Aragorn I,Men,,Unnamed wife,6277,6377,100
219,222,SA 3399,TA 238,Male,,,Cemendur,Men,Gondor,Unnamed wife,3999,4288,289
220,223,TA 2136,TA 2385,Male,,,Glóin (King of Durin's Folk),Dwarves,Grey Mountains,Unnamed wife,6186,6435,249
221,224,TA 2245,TA 2395,Male,,,Hador (Steward),Men,,Unnamed wife,6295,6445,150
222,225,TA 2295,TA 2398,Male,,,Isumbras Took I,Hobbits,,,6345,6448,103
223,226,TA 2290,TA 2412,Male,,,Barahir (Steward),Men,Gondor,Unnamed wife,6340,6462,122
224,227,TA 2328,TA 2435,Male,,,Dior (Steward),Men,,Possibly none,6378,6485,107
225,228,TA 2296,TA 2455,Male,,,Araglas,Men,,Unnamed wife,6346,6505,159
226,229,TA 2400,TA 2463,Male,Dark-brown,,Déagol,Hobbits,,None,6450,6513,63
227,230,TA 2375,TA 2477,Male,,,Denethor I,Men,,Unnamed wife,6425,6527,102
228,231,TA 2238,TA 2488,Male,,,Óin (King of Durin's Folk),Men,Grey Mountains,Unnamed wife,6288,6538,250
229,232,TA 2410,TA 2489,Male,,,Boromir (Steward),Men,,Unnamed wife,6460,6539,79
230,233,SA 3430,TA 249,Male,,,Valandil,Men,Arnor,Unnamed wife,4030,4299,269
231,234,TA 2459,TA 2501,Male,,,Léod,Men,,Unnamed wife,6509,6551,42
232,235,TA 2365,TA 2523,Male,,,Arahad I,Men,,Unnamed wife,6415,6573,158
233,236,TA 2485,TA 2545,Male,Blond,,Eorl the Young,Men,Rohan,Unnamed wife,6535,6595,60
234,237,TA 2449,TA 2567,Male,,,Cirion,Men,,Unnamed wife,6499,6617,118
235,238,TA 2512,TA 2570,Male,,,Brego,Men,Rohan,Unnamed wife,6562,6620,58
236,239,TA 2338,TA 2585,Male,,,Náin II,Dwarves,Grey Mountains,Unnamed wife,6388,6635,247
237,240,TA 2431,TA 2588,Male,,,Aragost,Men,,Unnamed wife,6481,6638,157
238,241,TA 2440,TA 2589,Male,,,Dáin I,Dwarves,Grey Mountains,Unnamed wife,6490,6639,149
239,242,TA 2552,TA 2589,Male,,,Frór,Dwarves,,,6602,6639,37
240,243,TA 2480,TA 2605,Male,,,Hallas (Steward),Men,,Unnamed wife,6530,6655,125
241,244,TA 2515,TA 2628,Male,,,Húrin II,Men,,Unnamed wife,6565,6678,113
242,245,TA 2544,TA 2645,Male,,,Aldor,Men,Rohan,Unnamed wife,6594,6695,101
243,246,TA 2497,TA 2654,Male,,,Aravorn,Men,,Unnamed wife,6547,6704,157
244,247,TA 2545,TA 2655,Male,,,Belecthor I,Men,,Unnamed wife,6595,6705,110
245,248,TA 2570,TA 2659,Male,,,Fréa,Men,Rohan,Unnamed wife,6620,6709,89
246,249,TA 2594,TA 2680,Male,,,Fréawine,Men,Rohan,,6644,6730,86
247,250,TA 2576,TA 2685,Male,,,Orodreth (Steward),Men,,Unnamed wife,6626,6735,109
248,251,TA 2600,TA 2698,Male,,,Ecthelion I,Men,,Possibly none,6650,6748,98
249,252,TA 2619,TA 2699,Male,,,Goldwine,Men,Rohan,,6669,6749,80
250,253,TA 2450,TA 2711,Male,,,Borin,Dwarven,,,6500,6761,261
251,254,TA 2644,TA 2718,Male,,,Déor,"Men,Rohirrim",Rohan,,6694,6768,74
252,255,TA 2563,TA 2719,Male,,,Arahad II,Men,,Unnamed wife,6613,6769,156
253,256,TA 2620,TA 2722,Male,,,Isengrim Took II,Hobbits,,Unnamed wife,6670,6772,102
254,257,TA 2668,TA 2741,Male,,,Gram,Men,Rohan,Unnamed wife,6718,6791,73
255,258,TA 2626,TA 2743,Male,,,Egalmoth,Men,,Unnamed wife,6676,6793,117
256,259,TA 2700,TA 2747,Male,,,Golfimbul,"Orc,Goblin",Mount Gram,None,6750,6797,47
257,260,TA 2698,TA 2754,Male,Dark,,Freca,Men,,Unnamed wife,6748,6804,56
258,261,TA 2666,TA 2759,Male,,,Isumbras Took III,Hobbits,,Unnamed wife,6716,6809,93
259,262,TA 2691,TA 2759,Male,,,Helm Hammerhand,Men,Rohan,Unnamed wife,6741,6809,68
260,263,TA 2655,TA 2763,Male,,,Beren (Steward),Men,,Unnamed wife,6705,6813,108
261,264,TA 2732,TA 2770,Male,,,Girion,Men,,Unnamed wife,6782,6820,38
262,265,TA 2628,TA 2784,Male,,,Arassuil,Men,,Unnamed wife,6678,6834,156
263,266,TA 2542,TA 2790,Male,Grey-white,,Thrór,Dwarves,"Grey Mountains,Lonely Mountain",Unnamed wife,6592,6840,248
264,267,TA 2726,TA 2798,Male,,,Fréaláf Hildeson,Men,Rohan,Unnamed wife,6776,6848,72
265,268,TA 2662,TA 2799,Male,,,Fundin,Dwarves,,Unnamed wife,6712,6849,137
266,269,TA 2665,TA 2799,Male,,,Náin (father of Dáin II Ironfoot),Dwarves,,Unnamed wife,6715,6849,134
267,270,TA 2751,TA 2799,Male,,,Frerin,Dwarves,,,6801,6849,48
268,271,TA 2701,TA 2800,Male,,"1.35m (4'5"")",Bandobras Took,Hobbit,,Unnamed wife ,6751,6850,99
