,birth,death,gender,hair,height,name,race,realm,spouse
87,"Late ,Third Age","Winter of ,TA 2759",Male,,,Háma (Helm's son),Men,,
88,TA 2975,"March 3, or ,4 ,3019",Male,Reddish brown (movie),,Háma,Men,,"Unknown, possibly none"
89,TA 1391,TA 1621,Male,,,Hyarmendacil II,Men,Gondor,Unnamed wife
90,TA 899,TA 1149,Male,,,Hyarmendacil I,Men,Gondor,Unnamed wife
91,FA 442,FA 473,Male,Golden,Tallest of all mortal men save his son Tuor only,Huor,Men,,Rían
92,"Late ,FA",FA 499,Male,,,Hunthor,Men,,Unnamed wife
93,"Late ,First Age",FA 473,Male,,,Hundar,Men,,Unnamed wife
94,"Mid ,FA",Mid FA ,Male,,,Hundad,Men,,Unnamed wife
95,First Age,FA 466,Male,,Horse-sized,Huan,Wolfhound,,
96,"Late ,Third Age","Late ,TA 3018",Male,,,Tobias Hornblower,Hobbits,Shire,
97,"Possibly late ,Third Age","March 15 ,TA 3019",Male,Blond (Video game),,Horn,Men,,
98,"Before the creation of ,Arda",Immortal,Male,,,Eönwë,Ainur,,
99,YT,FA 400,Male,Dark,Tall,Eöl,Elves,Nan Elmoth,Aredhel
100,Years of the Trees,Still alive,Female,Star-like ,,Eärwen,Elves,,Finarfin
101,TA 1928,TA 2050,Male,,,Eärnur,Men,Gondor,None
102,TA 1883,TA 2043,Male,,,Eärnil II,Men,Gondor,Unnamed wife
103,TA 736,TA 936,Male,,,Eärnil I,Men,Gondor,Unnamed wife
104,SA 361,"Early ,Second Age",Male,,,Eärendur of Númenor,Men,,Unnamed wife
105,TA 640,TA 861,Male,,,Eärendur of Arnor,,,Unnamed wife
106,"Late ,Second Age",Late Second Age,Male,,,Eärendur (Lord of Andúnië),Men,,
107,TA 48,TA 324,Male,,,Eärendil of Gondor,Men,Gondor,Unnamed wife
108,FA 503,Still Alive,Male,Golden,,Eärendil,Half-elven,,Elwing
109,"Before the creation of ,Arda",Immortal,Female,,,Estë,Ainur,,Irmo
110,"Late ,Second Age","Early ,Third Age",Male,,,Estelmo,Men,,
111,"Late ,Third Age","early ,Fourth Age",Male,,Tall,Erkenbrand,Men,,
112,SA 771,SA 985,Female,Dark,,Erendis,Men,Númenor,Tar-Aldarion
113,unknown,unknown,Male,,,Erellont,Elves,,unknown
114,TA 2990,"Early ,Fourth Age",Male,,,Erchirion,Men,,
115,TA 1999,TA 2116,Male,,,Eradan,Men,,Unnamed wife
116,TA 2995,FO,Female,Pale gold,Tall,Éowyn,Men,,Faramir
117,TA 2485,TA 2545,Male,Blond,,Eorl the Young,Men,Rohan,Unnamed wife
118,TA 2990,FO 63,Male,Dirty blond,Tall-6'6,Éomer,Men,Rohan,Lothíriel after the War of the Ring
119,FA 503,Still Alive,Female,Dark,,Elwing,Half-elven,,Eärendil
120,FA 500,FA 506,Male,Possibly dark,,Eluréd and Elurín,Elves,,
121,FA 532,SA 442,Male,,,Elros,Half-elven,Númenor,Unnamed wife
122,FA 532,"Still alive; departed to ,Aman, on ,September 29 ,3021",Male,Dark,Tall,Elrond,Half-elven,Rivendell,Celebrían
123,TA 2987,FO 57,Male,,,Elphir,Men,,Unnamed wife
124,FO 8,FO 103,Male,,,Elfwine,Men,Rohan,
125,TA 2950,TA 2978,Female,,,Elfhild,Men,Rohan,Théoden
126,TA 2985,"Early ,Fourth Age",Male,Dark,,Elfhelm,Men,,
127,YT,YT 1500,Female,Golden,Tall,Elenwë,Elves,,Turgon
128,TA 552,TA 777,Male,,,Elendur of Arnor,Men,Arnor,Unnamed wife
129,SA 3299,TA 2,Male,,,Elendur,Men,,Unnamed wife
130,SA 3119,SA 3441 ,Male,Brown,"7' 10""",Elendil,Men,"Arnor,Gondor",Unnamed wife
131,FO 43,"Before ,FO 220",Male,Dark,,Eldarion,Men,"Reunited Kingdom,Arnor,Gondor",
132,TA 1255,TA 1490,Male,,,Eldacar (King of Gondor),Men,Gondor,Unnamed wife
133,TA 87,TA 339,Male,,,Eldacar (King of Arnor),Men,Arnor,Unnamed wife
134,"Early ,Second Age",Early Second Age ,Male,,,Elatan,Men,,Silmariën
135,"Mid ,First Age","Between ,FA 455, - ,FA 460",Female,,,Eilinel,Men,,Gorlim
136,"Late ,Third Age",Late Third Age,Female,,,Eglantine (Banks) Took,Hobbits,,Paladin Took II
137,TA 2626,TA 2743,Male,,,Egalmoth,Men,,Unnamed wife
138,TA 2886,TA 2984,Male,,,Ecthelion II,Men,,Unnamed wife
139,TA 2600,TA 2698,Male,,,Ecthelion I,Men,,Possibly none
140,"Late ,Third Age","March 15 ,3019",Male,,,Dúnhere,Men,,
141,TA 2760,"After ,TA 2941",Female,,,Dís,Dwarves,,
142,"Late ,First Age",Late First Age ,Male,,,Dírhavel,Men,,
143,TA 2838,"After ,TA 2929",Male,Brown (film),,Dírhael,Men,,Ivorwen
144,"Late ,Third Age","March 15 ,3019",Male,,,Déorwine,Men,,
145,TA 2644,TA 2718,Male,,,Déor,"Men,Rohirrim",Rohan,
146,"Between TA 2400 and ,TA 2430",TA 2463,Male,Dark-brown,,Déagol,Hobbits,,None
147,"Late ,First Age",FA 473,Male,,,Borlad,Men,,Unnamed wife
148,TA 1879,TA 1998,Male,,,Pelendur,Men,,
149,TA 2910,TA 3012,Male,,"1.22m (4'0"")",Otho Sackville-Baggins,Hobbits,,Lobelia Sackville-Baggins
150,TA 222,TA 492,Male,,,Ostoher,Men,Gondor,Unnamed wife
151,"Before the creation ,Arda",Immortal,Male,,,Ossë,Ainur,,Uinen
152,First Age,SA 3434,Male,,,Oropher,Elves,Woodland Realm,Unnamed wife
153,"Before the creation of ,Arda",Immortal,Male,,Varies,Oromë,Ainur,,Vána
154,TA 2576,TA 2685,Male,,,Orodreth (Steward),Men,,Unnamed wife
155,YT,"FA 495 ,Battle of Tumhalad",Male,Golden,,Orodreth,Elves,Nargothrond,Unnamed wife
156,TA 2865,TA 2994,Male,,,Ori,Dwarves,,
157,TA 1787,TA 1944,Male,,,Ondoher,Men,Gondor,Unnamed wife
158,Possibly Firstborn,Still Alive,Male,Silver,,Olwë,Elves,"Tol Eressëa,Alqualondë",Unnamed Wife
159,TA 2923,"Early ,Fourth Age",Male,,,Old Noakes,Hobbits,,Unnamed wife
160,Late Second Age ,SA 3065,Male,,,Númendil,Men,,Unnamed wife
161,"Late ,Third Age",Late Third Age ,Male,,,Nár,Dwarves,,
162,"Late ,Third Age",TA 2994,Male,,,Náli,Dwarves,,
163,TA 2338,TA 2585,Male,,,Náin II,Dwarves,Grey Mountains,Unnamed wife
164,TA 1832,TA 1981,Male,,,Náin I,Dwarves,Khazad-dûm,Unnamed wife
165,TA 2665,TA 2799,Male,,,Náin (father of Dáin II Ironfoot),Dwarves,,Unnamed wife
166,"Late ,Third Age","March 15 ,3019",Male,,Tall,Hirluin,Men,,
167,"Late ,Third Age",TA 3019,Male,,Tall,Hirgon,Men,,
168,SA 2286,SA 2657,Male,,,Herucalmo,Men,,Tar-Vanimeldë
169,"Late-,Third Age","March 15 ,3019",Male,,,Herubrand,Men,,Unnamed wife
170,TA 2037,TA 2148,Male,,,Herion,Men,,Unnamed wife
171,"Late-,Third Age","March 15 ,3019",Male,Gray,,Herefara,Men,,Unnamed wife
172,"Early ,Second Age",unknown,Male,,,Henderch,Men,,
173,TA 2691,TA 2759,Male,,,Helm Hammerhand,Men,Rohan,Unnamed wife
174,"Mid ,First Age",FA 460,Male,,,Hathaldir,Men,,
175,"Late ,Third Age","March 15 ,3019",Male,,,Harding,Men,,
176,FA 470,FA 501,Male,,,Hardang,Men,,None
177,FA 441,FA 495,,,,Handir,Men,Brethil,Beldis
178,"Late ,First Age",Late First Age ,Male,,,Halmir,Men,,Unnamed wife
179,SA 711,"Mid ,Second Age",Male,,,Hallatan,Men,,Unnamed wife
180,TA 2480,TA 2605,Male,,,Hallas (Steward),Men,,Unnamed wife
181,SA 852,SA 1211,Male,,,Hallacar,Men,,Tar-Ancalimë
182,"Late ,Third Age","Winter of ,TA 2758",Male,,,Haleth (Helm's son),Men,,
183,FA 341,FA 420,Female,,,Haleth,Men,,None
184,FA 413,FA 473,Male,,,Haldir (Haladin),Men,,Glóredhel
185,TA 2916,"March 15 ,3019",Male,Black,Tall,Halbarad,Men,,
186,FA 390,FA 455,Male,Golden,,Hador,Men,,Gildis
187,"Late-,Third Age","February 28 ,3019",Male,,,Gárulf,Men,,
188,TA 2245,TA 2395,Male,,,Hador (Steward),Men,,Unnamed wife
189,TA 2767,"March 17 ,3019",Male,,4'5 - 5' (Estimate) ,Dáin II Ironfoot,Dwarves,Lonely Mountain,Unnamed wife
190,TA 2440,TA 2589,Male,,,Dáin I,Dwarves,Grey Mountains,Unnamed wife
191,TA 2772,FO 91,Male,Brown,,Dwalin,Dwarves,,
192,"Before the creation of ,Arda",January 253019,Male,Mane of red flames,"Slightly larger and taller than a Man (book), 20 feet (movie)",Durin's Bane,"Maiar,Balrog",,
193,"Late-,Third Age","Early-,Fourth Age",Male,Dark (Decipher Card),Tall,Duinhir,Men,,Unnamed wife
194,"Late ,Third Age",TA 3019,Male,,,Duilin,Men,,
195,"Late ,First Age",FA 499,Males,,,Dorlas,Men,,
196,TA 2328,TA 2435,Male,,,Dior (Steward),Men,,Possibly none
197,"FA 470, ","FA 506, ",Male,Possibly dark,,Dior,Half-elven,Doriath,Nimloth
198,SR 1316,SR 1410,Male,,,Dinodas Brandybuck,Hobbits,,
199,TA 2995,"Before ,FO 63",Female,Brown (film),,Diamond Took,Hobbits,,Peregrin Took
200,"Late ,Third Age","Mid ,March ,3019",Male,,,Derufin,Men,,
201,TA 2930,"March 15 ,3019",Male,"Dark, grey (in old age)",,Denethor II,Men,,Finduilas
202,TA 2375,TA 2477,Male,,,Denethor I,Men,,Unnamed wife
203,YT,YT 1497,Male,,,Denethor (First Age),Elves,Ossiriand,
204,"Late ,Third Age",TA 3019,Male,Dark,,Damrod,Men,,
205,"Late ,First Age",FA 460,Male,,,Dairuin,Men,,
206,"YT, 1050. Age = 11,484.9 Sun Years or 1,198.6 Valian Years as of FO 121 (death of Arwen).","Still alive, sailed into the ,West, sometime during the ,Fourth Age last of all elves to leave ,Middle-earth,.",Male,"Silver, bearded",Very tall,Círdan,Elves,,Presumably none
207,"During the ,Noontide of Valinor",FA 506,Male,Dark,,Curufin,Elves,Himlad,Unnamed wife
208,TA 2238,TA 2488,Male,,,Óin (King of Durin's Folk),Men,Grey Mountains,Unnamed wife
209,TA 2774,TA 2994,Male,,,Óin,Dwarves,,
210,"Before the creation of ,Arda",Immortal,Male,,Various,Òmar,Ainur,,None
211,TA 2961,TA 3002,Male,Blond,,Éomund,Men,,Théodwyn
212,"Early ,Second Age",Early Second Age ,Female,White or grey,,Zamîn,Men,,
213,"Before the creation of ,Arda",Immortal,Female,,Varies,Yavanna,Ainur,Pastures of Yavanna,Aulë
214,"Late-,Third Age","Early-,Fourth Age",Male,,,Wídfara,Men,,Unnamed wife
215,"Late ,Third Age",TA 2759,Male,,,Wulf I,Men,Rohan,
216,"Late ,First Age",FA 473,Male,,,Borlach,Men,,
217,TA 2450,TA 2711,Male,,,Borin,Dwarven,,
218,"Unknown, before the coming of Melkor","Unknown, possibly immortal",Male,Brown,,Tom Bombadil,,Old Forest,Goldberry
219,TA 2904,TA 3000,Male,,,Wilibald Bolger,Hobbits,,Prisca Baggins
220,TA 2935,FO 10,Male,,,Odovacar Bolger,Hobbits,,Rosamunda Took
221,TA 2897,"Late ,Third Age",Female,,,Jessamine (Boffin) Bolger,Hobbits,,Herugar Bolger
222,TA 2980,"Early ,Fourth Age",Male,,,Fredegar Bolger,Hobbits,,"unknown, possibly unmarried"
223,TA 2942,FO 22,Male,Brown (movie),,Filibert Bolger,Hobbits,,Poppy Chubb-Baggins
224,TA 2988,"Early-,Fourth Age",Male,,,Tosto Boffin,Hobbits,,
225,TA 2812,TA 2900,Male,,,Otto Boffin,Hobbits,,Lavender Grubb
226,TA 2894,TA 2986,Male,,,Jago Boffin,Hobbits,,Unnamed wife
227,"Late ,Third Age",Late Third Age ,Female,,,Ivy (Goodenough) Boffin,Hobbits,,Buffo Boffin
228,TA 2854,TA 2945,Male,,,Hugo Boffin,Hobbits,,Donnamira Took
229,TA 2904,TA 3004,Female,,,Gerda (Boffin) Bolger,Hobbits,,Adalbert Bolger
230,TA 2978,"Early ,Fourth Age",Male,,,Folco Boffin,Hobbits,,
231,"Late ,Third Age","Late ,Third Age",Male,,,Buffo Boffin,Hobbits,,Ivy Goodenough
232,TA 2767,TA 2858,Male,,,Bosco Boffin,Hobbits,,Unnamed wife
233,TA 2856,TA 2948,Female,,,Donnamira (Took) Boffin,Hobbits,,Hugo Boffin
234,"Late ,Third Age","Early ,Fourth Age",Male,,,Bob,Hobbits,,
235,TA 1560,"Sometime after ,TA 1601",Male,,,Blanco,Hobbits,,
236,"Late ,Third Age","March 15 ,3019",Male,,,Black Serpent,Men,,
237,"22 September ,TA 2890","Unknown (Last sighting 29 SeptemberTA 3021,) (,SR 1421,)",Male,"Brown, later white","1.25m (4'1"")",Bilbo Baggins,Hobbits,,None
238,TA 2814,UnknownFourth Age,Male,Black/ Grey (film),"4'5"" (film)",Bifur,Dwarves,,
239,TA 2655,TA 2763,Male,,,Beren (Steward),Men,,Unnamed wife
240,FA 432,FA 466,Male,Dark,Tall,Beren,Men,,Lúthien Tinúviel
241,SA 222,"Early ,Second Age",Male,,,Nolondil,Men,,Unnamed wife
242,FA 473,FA 499,Female,Golden,Tall,Niënor,Men,,Túrin Turambar
243,YT,TA 1981,Female,Possibly golden,,Nimrodel,Elves,,"Loved ,Amroth"
244,"Unknown, possibly sometime during the ,Years of the Trees",FA 506,Female,,,Nimloth (elf),Elves,Doriath,Dior Eluchíl
245,"Before the creation of ,Arda",Immortal,Female,,,Nienna,Ainur,"Valinor,Halls of Nienna",None
246,unknown,Immortal,Female,,Various,Nielíqui,Ainur,,None
247,SA 840,"Mid ,Second Age",Female,,,Nessanië,Men,,
248,"Before the creation of ,Arda",Immortal,Female,,Varies,Nessa,Ainur,Valinor,Tulkas
249,"YT, during the ,Noontide of Valinor",Still alive,Female,Reddish brown,,Nerdanel,Elves,,Fëanor
250,TA 1684,TA 1856,Male,,,Narmacil II,Men,,Unnamed wife
251,TA 1049,TA 1294,Male,,,Narmacil I,Men,Gondor,"Unknown, possibly none as he had no children"
252,"Early ,First Age",FA 502,Male,,,Mîm,Dwarves,,Unnamed wife
253,First Age,"Probably died on ,March 25TA 3019, during destruction of ,Mordor",Male,Most likely black or none,"6' 7"" (2.01 m)",Mouth of Sauron,Men,,None
254,"Late 26th century ,Third Age","Late ,Third Age",Female,,,Morwen (Gondor),Men,,Unnamed husband
255,FA 443,FA 500,Female,"Dark, grey in old age",Tall,Morwen,Men,,Húrin Thalion
256,TA 1454,TA 1634,Male,,,Minardil,Men,Gondor,Unnamed wife
257,"Mid ,Third Age","July 13 ,1944",Male,,,Minohtar,Men,,
258,SR 1381,"Early-,Fourth Age",Male,,,Merimas Brandybuck,Hobbits,,
259,YT,"Unknown, presumably still alive",Female,,,Meril-i-Turinqi,Elves,Tol Eressëa,
260,SA 3318,TA 158,Male,,,Meneldil,Men,Gondor,Unnamed wife
261,"Before the creation of ,Arda",Immortal,Male,Dark,Any size by choice,Melkor,Ainur,"Utumno,Angband,Middle-earth,Beleriand",
262,"Before the creation of ,Arda","Did not die being a ,Maia returned to ,Valinor, after the death of her husband Thingol",Female,Dark,,Melian,Ainur,Doriath,Thingol
263,3019,"February 29 ,3019",Male,Black (film),,Mauhúr,Uruk-hai,"Isengard,Saruman",none
264,TA 2890,TA 2941,Male,Auburn (film),"Tall (6'4"")",Master of Laketown,Men,Lake-town,
265,"Mid-,Third Age",Mid-Third Age ,Male,,,Marhwini,Men,,Unnamed wife
266,"Mid ,Third Age",TA 1856,Male,,,Marhari,Men,,Unnamed wife
267,TA 1557,"Sometime after ,TA 1601",Male,,,Marcho,Hobbits,,
268,TA 1960,TA 2080,Male,,,Mardil Voronwë,Men,,Unnamed wife
269,FA 282,FA 376,Male,,,Marach,Men,,Unnamed wife
270,Before the Creation of Arda,Immortal,Male,,,Manwë,Ainur,"Arda,Valinor",Varda
271,"After ,SA 61","Early ,Second Age",Male,,,Manwendil,Men,,Possible unnamed wife
272,"Late ,First Age",Late First Age ,Male,,,Manthor,Men,,
273,TA 2940,TA 3015,Male,,,Gálmód,Men,,Unnamed wife
274,"Unknown, possibly during the ,First Age",FA 495,Male,Became grey in captivity,,Gwindor,Elves,,"None, betrothed to ,Finduilas"
275,"Late ,Third Age","March 15 ,3019",Male,Blond,,Guthláf,Men,,
276,"Mid ,First Age",FA 456,Male,,,Gundor,Men,,
277,TA 2563,TA 2805,Male,,,Grór,Dwarves,,Unnamed wife
278,TA 2671,TA 2923,Male,,,Gróin,Dwarves,,Unnamed wife
279,"Mid ,First Age",FA 474,Male,,,Grithnir,Men,,
280,"Late ,Third Age","March 15 ,3019",Male,,,Grimbold,Men,,
281,"Unknown, probably several years or so after the ,Battle of Five Armies","Unknown, early ,Fourth Age",Male,Dark,Tall (in Man-form),Grimbeorn,"Men,Skin-changer",,
282,"Late ,First Age",FA 460,Male,,,Gorlim,"Men,Wraith",,Eilinel
283,TA 2668,TA 2741,Male,,,Gram,Men,Rohan,Unnamed wife
284,"Before the creation of ,Arda",FA 510,Male,,,Gothmog,"Maiar,Balrogs",,
285,SR 1134,SR 1236,Male,,,"Gormadoc ""Deepdelver"" Brandybuck",Hobbits,Buckland,Malva Headstrong
286,TA 2908,"Before ,TA 3001",Male,,,Gorbulas Brandybuck,Hobbits,,Unnamed wife
287,TA 2430,"March 25 ,3019",Male,,,Gollum,Hobbits,,
288,"Unknown, before ,TA 2700",TA 2747,Male,,,Golfimbul,"Orc,Goblin",Mount Gram,None
289,TA 2619,TA 2699,Male,,,Goldwine,Men,Rohan,
290,"Late ,Third Age","Presumably sometime after ,TA 3019",Male,,,Harry Goatleaf,Men,,
291,FA 415,FA 473,Female,Blonde,,Glóredhel,Men,,Haldir
292,TA 2136,TA 2385,Male,,,Glóin (King of Durin's Folk),Dwarves,Grey Mountains,Unnamed wife
293,TA 2783,FO 15,Male,"Red, later White",,Glóin,Dwarves,,Unnamed wife
294,"Possibly ,YT",FA 510,Male,Golden,Tall,Glorfindel,Elves,,None
295,Presumably after Morgoth's return to Angband,FA 501,Male,None,Gigantic,Glaurung,Dragons,,None
296,TA 2732,TA 2770,Male,,,Girion,Men,,Unnamed wife
297,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Auburn,,Gimli,Dwarves,,
298,SA 3044,SA 3243,Male,,,Gimilkhâd,Men,,Unnamed wife
299,TA 2907,TA 3007,Female,Blonde (film),"Unknown (book) 1.66m (5'5"") (film)",Gilraen,Men,,Arathorn II
300,"Late ,First Age",FA 460,Male,,,Gildor (Edain),Men,,
301,FA 450,SA 3441,Male,Possibly golden (book) Dark brown (movie),Tall,Gil-galad,Elves,"Havens of Sirion,Lindon",
302,TA 2941,FO 20,Male,,,Tolman Cotton,Hobbits,,Lily Brown
303,TA 2984,FO 61,Female,Light brown (film),,Rosie Cotton,Hobbits,,Sam Gamgee
304,TA 2980,FO 60,Male,,,Tolman Cotton Jr.,Hobbits,,Marigold Cotton
305,SA 3379,TA 2,Male,,,Ciryon,Men,,"Unknown, possibly known"
306,"Mid ,Second Age","After ,SA 1700",Male,Black,Tall,Ciryatur,Men,,
307,TA 820,TA 1015,Male,,,Ciryandil,Men,Gondor,Unnamed wife
308,TA 2449,TA 2567,Male,,,Cirion,Men,,Unnamed wife
309,TA 2903,TA 2999,Male,,,Falco Chubb-Baggins,Hobbits,,Unnamed wife
310,SA 3399,TA 238,Male,,,Cemendur,Men,Gondor,Unnamed wife
311,TA 979,TA 1191,Male,,,Celepharn,Men,Arthedain,Unnamed wife
312,"During in the ,Noontide of Valinor",FA 506,Male,Fair,,Celegorm,Elves,,None
313,"Between the years ,SA 350, and SA 400","Still alive; Departed to ,Aman, in ,TA 2510",Female,Possibly silver,,Celebrían,Elves,,Elrond
314,TA 1062,TA 1272,Male,,,Celebrindor,Men,Arthedain,Unnamed wife
