	birth	death	gender	hair	height	name	race	realm	spouse
230	TA 2978	FO 30	Male			Folco Boffin	Hobbits		
224	TA 2988	FO 33	Male			Tosto Boffin	Hobbits		
80	TA 2955	FO 34	Male	Black	Tall	Imrahil	Men		Unnamed wife
222	TA 2980	FO 42	Male			Fredegar Bolger	Hobbits		"unknown, possibly unmarried"
53	TA 2920	FO 50	Male			Ted Sandyman	Hobbits		
401	TA 2972	FO 54	Female			Daisy Gamgee I	Hobbits		
123	TA 2987	FO 57	Male			Elphir	Men		Unnamed wife
114	TA 2990	FO 57	Male			Erchirion	Men		
304	TA 2980	FO 60	Male			Tolman Cotton Jr.	Hobbits		Marigold Cotton
398	TA 2980	FO 61	Male	Blond (movie)	"1.22m (4'0"")"	Samwise Gamgee	Hobbits		Rosie Cotton
495	TA 2981	FO 61	Female	Blonde		Angelica Baggins	Hobbit		
303	TA 2984	FO 61	Female	Light brown (film)		Rosie Cotton	Hobbits		Sam Gamgee
446	TA 2975	FO 63	Female			Pearl Took	Hobbits		None
435	TA 2985	FO 63	Female	Dark Blonde		Estella (Bolger) Brandybuck	Hobbits		Meriadoc Brandybuck
118	TA 2990	FO 63	Male	Dirty blond	Tall-6'6	Éomer	Men	Rohan	Lothíriel after the War of the Ring
199	TA 2995	FO 63	Female	Brown (film)		Diamond Took	Hobbits		Peregrin Took
432	TA 2982	FO 65	Male	Golden yellow (film)	"1.38m (4'6"")"	Meriadoc Brandybuck	Hobbit		Estella (Bolger) Brandybuck
445	TA 2990	FO 65	Male	Almost golden	"1.34m (4'5"")"	Peregrin Took	Hobbits		Diamond of Long Cleeve
399	TA 2926	FO 7 	Male	"Brown, later gray"	"1.2m (3'11"")"	Hamfast Gamgee	Hobbit		Bell Goodchild
45	TA 2983	FO 82	Male	Raven		Faramir	Men	Minas Ithil	Éowyn
191	TA 2772	FO 91	Male	Brown		Dwalin	Dwarves		
544	TA 3017	FO 95	Male			Alphros	Men		
151	Before CA	Immortal	Male			Ossë	Ainur		Uinen
73	Before CA	Immortal	Male			Irmo	Ainur		Estë
98	Before CA	Immortal	Male			Eönwë	Ainur		
109	Before CA	Immortal	Female			Estë	Ainur		Irmo
153	Before CA	Immortal	Male		Varies	Oromë	Ainur		Vána
210	Before CA	Immortal	Male		Various	Òmar	Ainur		None
213	Before CA	Immortal	Female		Varies	Yavanna	Ainur	Pastures of Yavanna	Aulë
245	Before CA	Immortal	Female			Nienna	Ainur	"Valinor,Halls of Nienna"	None
248	Before CA	Immortal	Female		Varies	Nessa	Ainur	Valinor	Tulkas
261	Before CA	Immortal	Male	Dark	Any size by choice	Melkor	Ainur	"Utumno,Angband,Middle-earth,Beleriand"	
262	Before CA	Immortal	Female	Dark		Melian	Ainur	Doriath	Thingol
344	Before CA	Immortal	Male			Ulmo	Ainur	"Valinor,Ulmonan"	None
349	Before CA	Immortal	Female			Uinen			Ossë
358	Before CA	Immortal	Male	Golden		Tulkas	Ainur	"Valinor,House of Tulkas"	Nessa
469	Before CA	Immortal	Male		30	Thorondor	Great Eagles		
497	Before CA	Immortal	Male			Aulë	Ainur		Yavanna
508	Before CA	Immortal	Female			Arien	Ainur		None
51	Before CA	Immortal	Male			Salmar	Ainur		
270	Before CA	Immortal	Male			Manwë	Ainur	"Arda,Valinor"	Varda
336	Before CA	Immortal	Female			Varda	Ainur	Arda	Manwë
341	Before CA	Immortal	Female			Vairë	Ainur	"Valinor,Halls of Mandos"	Mandos
463	Before CA	Immortal	Male	 		Tilion	Ainur		None
29	SA 700	SA 1098	Male			Tar-Aldarion	Men	Númenor	Erendis
181	SA 852	SA 1211	Male			Hallacar	Men		Tar-Ancalimë
24	SA 873	SA 1285	Female			Tar-Ancalimë	Men	Númenor	Hallacar
23	SA 1003	SA 1404	Male			Tar-Anárion	Men	Númenor	Unnamed wife
13	SA 1174	SA 1574	Male			Tar-Súrion	Men	Númenor	Unnamed wife
315	Before CA	SA 1697	Male	Dark		Celebrimbor	Elves	Eregion	
11	SA 1320	SA 1731	Female			Tar-Telperiën	Men	Númenor	None
16	SA 1474	SA 1873	Male			Tar-Minastir	Men	Númenor	Unnamed wife
22	SA 1634	SA 2035	Male			Tar-Ciryatan	Men	Númenor	Unnamed wife
19	SA 1800	SA 2221	Male			Tar-Atanamir	Men	Númenor	Unnamed wife
25	SA 1986	SA 2386	Male			Tar-Ancalimon	Men	Númenor	Unnamed wife
12	SA 2136	SA 2526	Male			Tar-Telemmaitë	Men	Númenor	Unnamed wife
10	SA 2277	SA 2637	Female			Tar-Vanimeldë	Men	Númenor	Herucalmo
168	SA 2286	SA 2657	Male			Herucalmo	Men		Tar-Vanimeldë
27	SA 2406	SA 2737	Male			Tar-Alcarin	Men	Númenor	Unnamed wife
18	SA 2516	SA 2825	Male			Tar-Calmacil	Men	Númenor	Unnamed wife
21	SA 2618	SA 2899	Male			Tar-Ardamin	Men	Númenor	Unnamed wife
2	SA 2709	SA 2962	Male			Ar-Adûnakhôr	Men	Númenor	Unnamed wife
533	SA 2798	SA 3033	Male			Ar-Zimrathôn	Men	Númenor	Unnamed wife
6	SA 2876	SA 3102	Male			Ar-Sakalthôr	Men	Númenor	Unnamed wife
7	SA 2960	SA 3177	Male			Ar-Gimilzôr	Men	Númenor	Inzilbêth
298	SA 3044	SA 3243	Male			Gimilkhâd	Men		Unnamed wife
14	SA 3035	SA 3255	Male			Tar-Palantir	Men	Númenor	Unnamed wife
15	SA 3117	SA 3319	Female			Tar-Míriel	Men	Númenor	Ar-Pharazôn
4	SA 3219	SA 3440	Male			Anárion	Men	Gondor	Unnamed wife
301	FA 450	SA 3441	Male	Possibly golden (book) Dark brown (movie)	Tall	Gil-galad	Elves	"Havens of Sirion,Lindon"	
130	SA 3119	SA 3441 	Male	Brown	"7' 10"""	Elendil	Men	"Arnor,Gondor"	Unnamed wife
121	FA 532	SA 442	Male			Elros	Half-elven	Númenor	Unnamed wife
335	SA 61	SA 471	Male			Vardamir Nólimon	Men	Númenor	Unnamed wife
26	SA 192	SA 603	Male			Tar-Amandil	Men	Númenor	Unnamed wife
17	SA 350	SA 751	Male			Tar-Elendil	Men	Númenor	Unnamed wife
321	SA 512	SA 900	Male			Caliondo	Men		Unnamed wife
20	SA 543	SA 942	Male			Tar-Meneldur	Men	Númenor	Almarian
112	SA 771	SA 985	Female	Dark		Erendis	Men	Númenor	Tar-Aldarion
100	Before CA	Still alive	Female	Star-like 		Eärwen	Elves		Finarfin
542	Before CA	Still alive	Female			Amarië	Elves		"Loved ,Finrod, but it is unknown whether they married"
37	Before CA	Still alive	Male	Golden		Finarfin	Elves	Tirion	Eärwen
82	Before CA	Still alive	Female	Golden	Tall	Idril	Elves		Tuor
76	Before CA	Still alive	Male	Probably Golden	Tall	Ingwë	Elves	"Valinor,Taniquetil"	Unnamed wife
249	Before CA	Still alive	Female	Reddish brown		Nerdanel	Elves		Fëanor
316	Before CA	Still alive	Male	Silver	Tall	Celeborn	Elves	"Eregion,Lothlórien,Caras Galadhon"	Galadriel
206	Before CA	Still alive	Male	"Silver, bearded"	Very tall	Círdan	Elves		Presumably none
403	Before CA	Still alive	Female	Golden	Tall	Galadriel	Elves	"Eregion,Lothlórien,Caras Galadhon"	Celeborn
259	Before CA	Still alive	Female			Meril-i-Turinqi	Elves	Tol Eressëa	
75	Before CA	Still alive	Male	Probably Golden		Ingwion	Elf		
108	FA 503	Still alive	Male	Golden		Eärendil	Half-elven		Elwing
119	FA 503	Still alive	Female	Dark		Elwing	Half-elven		Eärendil
122	FA 532	Still alive	Male	Dark	Tall	Elrond	Half-elven	Rivendell	Celebrían
400	FO 2	Still alive	Male			Frodo Gardner	Hobbits		Unnamed wife
5	SA 3118	Still alive	Male		Tall	Ar-Pharazôn	Men	Númenor	Tar-Míriel
313	SA 350	Still alive	Female	Possibly silver		Celebrían	Elves		Elrond
116	TA 2995	Still alive	Female	Pale gold	Tall	Éowyn	Men		Faramir
307	TA 820	TA 1015	Male			Ciryandil	Men	Gondor	Unnamed wife
364	TA 811	TA 1029	Male			Beleg of Arnor	Men	"Arnor,Arthedain"	Unnamed wife
377	TA 895	TA 1110	Male			Mallor	Men	"Arthedain,Arnor"	Unnamed wife
90	TA 899	TA 1149	Male			Hyarmendacil I	Men	Gondor	Unnamed wife
311	TA 979	TA 1191	Male			Celepharn	Men	Arthedain	Unnamed wife
499	TA 977	TA 1226	Male			Atanatar II	Men	Gondor	Unnamed wife
314	TA 1062	TA 1272	Male			Celebrindor	Men	Arthedain	Unnamed wife
251	TA 1049	TA 1294	Male			Narmacil I	Men	Gondor	"Unknown, possibly none as he had no children"
320	TA 1058	TA 1304	Male			Calmacil	Men	Gondor	Unnamed wife
333	TA 1255	TA 1344	Female			Vidumavi	Men		Valacar
376	TA 1144	TA 1349	Male			Malvegil	Men	Arthedain	Unnamed wife
512	TA 1226	TA 1356	Male			Argeleb I	Men	"Arthedain,Arnor"	Unnamed wife
58	TA 1126	TA 1366	Male			Rómendacil II	Men	Gondor	Unnamed wife
504	TA 1309	TA 1409	Male			Arveleg I	Men	"Arnor,Arthedain"	Unnamed wife
340	TA 1194	TA 1432	Male			Valacar	Men	Gondor	Vidumavi
317	TA 1259	TA 1447	Male			Castamir the Usurper	Men	Gondor	Unnamed wife
132	TA 1255	TA 1490	Male			Eldacar (King of Gondor)	Men	Gondor	Unnamed wife
549	TA 1330	TA 1540	Male			Aldamir	Men	Gondor	Unnamed wife
260	SA 3318	TA 158	Male			Meneldil	Men	Gondor	Unnamed wife
520	TA 1391	TA 1589	Male			Araphor	Men	Arthedain	Unnamed wife
267	TA 1557	TA 1601	Male			Marcho	Hobbits		
235	TA 1560	TA 1601	Male			Blanco	Hobbits		
89	TA 1391	TA 1621	Male			Hyarmendacil II	Men	Gondor	Unnamed wife
256	TA 1454	TA 1634	Male			Minardil	Men	Gondor	Unnamed wife
478	TA 1516	TA 1636	Male			Telemnar	Men	Gondor	Unnamed wife
511	TA 1473	TA 1670	Male			Argeleb II	Men	Arthedain	Unnamed wife
505	TA 1553	TA 1743	Male			Arvegil	Men	"Arthedain,Arnor"	Unnamed wife
484	TA 1577	TA 1798	Male			Tarondor	Men	Gondor	Unnamed wife
503	TA 1633	TA 1813	Male			Arveleg II	Men	"Arthedain,Arnor"	Unnamed wife
480	TA 1632	TA 1850	Male			Telumehtar	Men	Gondor	Unnamed wife
250	TA 1684	TA 1856	Male			Narmacil II	Men		Unnamed wife
516	TA 1711	TA 1891	Male			Araval	Men	"Arthedain,Arnor"	Unnamed wife
322	TA 1736	TA 1936	Male			Calimehtar	Men	Gondor	Unnamed wife
157	TA 1787	TA 1944	Male			Ondoher	Men	Gondor	Unnamed wife
522	TA 1789	TA 1964	Male			Araphant	Men	Arthedain	Unnamed wife
506	TA 1864	TA 1975	Male			Arvedui	Men	Arthedain	Fíriel
243	Before CA	TA 1981	Female	Possibly golden		Nimrodel	Elves		"Loved ,Amroth"
164	TA 1832	TA 1981	Male			Náin I	Dwarves	Khazad-dûm	Unnamed wife
148	TA 1879	TA 1998	Male			Pelendur	Men		
70	SA 3209	TA 2	Male	Black	Very tall almost 7'1	Isildur	Men	"Arnor,Gondor"	Unnamed wife
129	SA 3299	TA 2	Male			Elendur	Men		Unnamed wife
305	SA 3379	TA 2	Male			Ciryon	Men		"Unknown, possibly known"
416	TA 1967	TA 2000	Male			Fram	Men		"Unknown, probably as he had descendants"
413	TA 1940	TA 2001	Male			Frumgar	Men		Unnamed wife
332	TA 1919	TA 2029	Male			Vorondil	Men		Unnamed wife
425	TA 1930	TA 2031	Male			Bucca of the Marish	Hobbits		
102	TA 1883	TA 2043	Male			Eärnil II	Men	Gondor	Unnamed wife
101	TA 1928	TA 2050	Male			Eärnur	Men	Gondor	None
79	TA 1950	TA 2076	Male			Imrazôr	Men		Mithrellas
268	TA 1960	TA 2080	Male			Mardil Voronwë	Men		Unnamed wife
524	TA 1938	TA 2106	Male			Aranarth	Men		Unnamed wife
115	TA 1999	TA 2116	Male			Eradan	Men		Unnamed wife
404	TA 2004	TA 2129	Male			Galador	Half-elven		Unnamed wife
170	TA 2037	TA 2148	Male			Herion	Men		Unnamed wife
525	TA 2012	TA 2177	Male			Arahael	Men		Unnamed wife
470	TA 1934	TA 2190	Male			Thráin I	Dwarves	Khazad-dûm	Unnamed wife
363	TA 2074	TA 2204	Male			Belegorn	Men		Unnamed wife
85	TA 2124	TA 2244	Male			Húrin I	Men		Unnamed wife
523	TA 2084	TA 2247	Male			Aranuir	Men		Unnamed wife
352	TA 2165	TA 2278	Male			Túrin I	Men		Unnamed wife
474	TA 2035	TA 2289	Male			Thorin I	Dwarves	"Lonely Mountain,Grey Mountains"	Unnamed wife
515	TA 2156	TA 2319	Male			Aravir	Men		Unnamed wife
530	TA 2227	TA 2327	Male			Aragorn I	Men		Unnamed wife
310	SA 3399	TA 238	Male			Cemendur	Men	Gondor	Unnamed wife
292	TA 2136	TA 2385	Male			Glóin (King of Durin's Folk)	Dwarves	Grey Mountains	Unnamed wife
188	TA 2245	TA 2395	Male			Hador (Steward)	Men		Unnamed wife
460	TA 2295	TA 2398	Male			Isumbras Took I	Hobbits		
370	TA 2290	TA 2412	Male			Barahir (Steward)	Men	Gondor	Unnamed wife
196	TA 2328	TA 2435	Male			Dior (Steward)	Men		Possibly none
531	TA 2296	TA 2455	Male			Araglas	Men		Unnamed wife
146	TA 2400	TA 2463	Male	Dark-brown		Déagol	Hobbits		None
202	TA 2375	TA 2477	Male			Denethor I	Men		Unnamed wife
208	TA 2238	TA 2488	Male			Óin (King of Durin's Folk)	Men	Grey Mountains	Unnamed wife
443	TA 2410	TA 2489	Male			Boromir (Steward)	Men		Unnamed wife
339	SA 3430	TA 249	Male			Valandil	Men	Arnor	Unnamed wife
387	TA 2459	TA 2501	Male			Léod	Men		Unnamed wife
527	TA 2365	TA 2523	Male			Arahad I	Men		Unnamed wife
117	TA 2485	TA 2545	Male	Blond		Eorl the Young	Men	Rohan	Unnamed wife
308	TA 2449	TA 2567	Male			Cirion	Men		Unnamed wife
429	TA 2512	TA 2570	Male			Brego	Men	Rohan	Unnamed wife
163	TA 2338	TA 2585	Male			Náin II	Dwarves	Grey Mountains	Unnamed wife
528	TA 2431	TA 2588	Male			Aragost	Men		Unnamed wife
190	TA 2440	TA 2589	Male			Dáin I	Dwarves	Grey Mountains	Unnamed wife
408	TA 2552	TA 2589	Male			Frór	Dwarves		
180	TA 2480	TA 2605	Male			Hallas (Steward)	Men		Unnamed wife
84	TA 2515	TA 2628	Male			Húrin II	Men		Unnamed wife
548	TA 2544	TA 2645	Male			Aldor	Men	Rohan	Unnamed wife
514	TA 2497	TA 2654	Male			Aravorn	Men		Unnamed wife
366	TA 2545	TA 2655	Male			Belecthor I	Men		Unnamed wife
411	TA 2570	TA 2659	Male			Fréa	Men	Rohan	Unnamed wife
409	TA 2594	TA 2680	Male			Fréawine	Men	Rohan	
154	TA 2576	TA 2685	Male			Orodreth (Steward)	Men		Unnamed wife
139	TA 2600	TA 2698	Male			Ecthelion I	Men		Possibly none
289	TA 2619	TA 2699	Male			Goldwine	Men	Rohan	
217	TA 2450	TA 2711	Male			Borin	Dwarven		
145	TA 2644	TA 2718	Male			Déor	"Men,Rohirrim"	Rohan	
526	TA 2563	TA 2719	Male			Arahad II	Men		Unnamed wife
458	TA 2620	TA 2722	Male			Isengrim Took II	Hobbits		Unnamed wife
283	TA 2668	TA 2741	Male			Gram	Men	Rohan	Unnamed wife
137	TA 2626	TA 2743	Male			Egalmoth	Men		Unnamed wife
288	TA 2700	TA 2747	Male			Golfimbul	"Orc,Goblin"	Mount Gram	None
415	TA 2698	TA 2754	Male	Dark		Freca	Men		Unnamed wife
457	TA 2666	TA 2759	Male			Isumbras Took III	Hobbits		Unnamed wife
173	TA 2691	TA 2759	Male			Helm Hammerhand	Men	Rohan	Unnamed wife
239	TA 2655	TA 2763	Male			Beren (Steward)	Men		Unnamed wife
296	TA 2732	TA 2770	Male			Girion	Men		Unnamed wife
519	TA 2628	TA 2784	Male			Arassuil	Men		Unnamed wife
466	TA 2542	TA 2790	Male	Grey-white		Thrór	Dwarves	"Grey Mountains,Lonely Mountain"	Unnamed wife
410	TA 2726	TA 2798	Male			Fréaláf Hildeson	Men	Rohan	Unnamed wife
407	TA 2662	TA 2799	Male			Fundin	Dwarves		Unnamed wife
165	TA 2665	TA 2799	Male			Náin (father of Dáin II Ironfoot)	Dwarves		Unnamed wife
414	TA 2751	TA 2799	Male			Frerin	Dwarves		
456	TA 2701	TA 2800	Male		"1.35m (4'5"")"	Bandobras Took	Hobbit		Unnamed wife 
38	TA 2701	TA 2801	Male			Ferumbras Took II	Hobbits		Unnamed wife
43	TA 2560	TA 2803	Male			Farin	Dwarves		Unnamed wife
277	TA 2563	TA 2805	Male			Grór	Dwarves		Unnamed wife
361	TA 2700	TA 2811	Male			Beregond	Men		Unnamed wife
386	TA 2752	TA 2842	Male			Brytta Léofa	Men	Rohan	Unnamed wife
518	TA 2693	TA 2848	Male			Arathorn I	Men		Unnamed wife
418	TA 2745	TA 2848	Male			Fortinbras Took I	Hobbits		Unnamed wife
467	TA 2644	TA 2850	Male			Thráin II	Dwarves	Lonely Mountain	Unnamed wife
330	TA 2780	TA 2851	Male			Walda	Men		Unnamed wife
232	TA 2767	TA 2858	Male			Bosco Boffin	Hobbits		Unnamed wife
494	TA 2767	TA 2858	Male			Balbo Baggins	Hobbits		Berylla (Boffin) Baggins
423	TA 2804	TA 2864	Male			Folca	Men		Unnamed wife
492	TA 2772	TA 2871	Female			Berylla (Boffin) Baggins	Hobbits		Balbo Baggins
365	TA 2752	TA 2872	Male			Belecthor II	Men		Unnamed wife
471	TA 2782	TA 2882	Male			Thorondir	Men		Unnamed wife
42	TA 2858	TA 2885	Male			Fastred	Men		
422	TA 2858	TA 2885	Male			Folcred	Men		
486	TA 2807	TA 2900	Male			Mungo Baggins	Hobbits		Laura Grubb
225	TA 2812	TA 2900	Male			Otto Boffin	Hobbits		Lavender Grubb
421	TA 2830	TA 2903	Male			Folcwine	Men	Rohan	Unnamed wife
375	TA 2816	TA 2911	Male			Ponto Baggins	Hobbits		Mimosa Bunce
509	TA 2757	TA 2912	Male			Argonui	Men		Unnamed wife
351	TA 2815	TA 2914	Male			Túrin II	Men		Unnamed wife
483	TA 2814	TA 2916	Female			Laura (Grubb) Baggins	Hobbits		Mungo Baggins
451	TA 2790	TA 2920	Male			Gerontius Took	Hobbits		Adamanta Chubb
278	TA 2671	TA 2923	Male			Gróin	Dwarves		Unnamed wife
454	TA 2817	TA 2923	Female			Adamanta (Chubb) Took	Hobbits		"Gerontius ""The Old"" Took"
491	TA 2846	TA 2926	Male			Bungo Baggins	Hobbit		
143	TA 2838	TA 2929	Male	Brown (film)		Dírhael	Men		Ivorwen
68	TA 2857	TA 2929	Female	Brown (film)		Ivorwen	Men		Dírhael
532	TA 2820	TA 2930	Male	"Dark, then grey (film)"		Arador	Men		Unnamed wife
71	TA 2832	TA 2930	Male			Isengrim Took III	Hobbits		Not married
550	TA 2827	TA 2932	Male			Aglahad	Men		Unnamed wife
517	TA 2873	TA 2933	Male	Dark (film)		Arathorn II	Men		Gilraen
450	TA 2849	TA 2934	Male			Hildibrand Took	Hobbits		
493	TA 2852	TA 2934	Female	Black		Belladonna (Took) Baggins	Hobbits		Bungo Baggins
473	TA 2746	TA 2941	Male			Thorin II Oakenshield	Dwarves	Ered Luin	
141	TA 2760	TA 2941	Female			Dís	Dwarves		
46	TA 2770	TA 2941	Male			Smaug	Dragons	Lonely Mountain	
405	TA 2859	TA 2941	Male	Yellow		Fíli and Kíli	Dwarves		None
264	TA 2890	TA 2941	Male	Auburn (film)	"Tall (6'4"")"	Master of Laketown	Men	Lake-town	
228	TA 2854	TA 2945	Male			Hugo Boffin	Hobbits		Donnamira Took
72	TA 2842	TA 2946	Male			Isembold Took	Hobbits		Unnamed wife 
448	TA 2847	TA 2946	Male			Isembard Took	Hobbits		
233	TA 2856	TA 2948	Female			Donnamira (Took) Boffin	Hobbits		Hugo Boffin
482	TA 2860	TA 2950	Male			Longo Baggins	Hobbits		Camellia (Sackville) Baggins
354	TA 2855	TA 2953	Male			Turgon (Steward)	Men		Unnamed wife
40	TA 2870	TA 2953	Male			Fengel	Men	Rohan	
431	TA 2860	TA 2960	Female			Mirabella (Took) Brandybuck	Hobbits		Gorbadoc Brandybuck
488	TA 2864	TA 2960	male			Fosco Baggins	Hobbits		Ruby Bolger
8	TA 2866	TA 2977	Male			Angelimir	Men		Unnamed wife
368	TA 2898	TA 2977	Male	Black (films)		Bard	Men	Dale	Unnamed wife
125	TA 2950	TA 2978	Female			Elfhild	Men	Rohan	Théoden
459	TA 2878	TA 2980	Male			Fortinbras Took II	Hobbits		Lalia Clayhanger
476	TA 2905	TA 2980	Male			Thengel	Men	Rohan	Morwen Steelsheen
490	TA 2908	TA 2980	Male			Drogo Baggins	Hobbits		Primula Brandybuck
430	TA 2920	TA 2980	Female			Primula (Brandybuck) Baggins	Hobbits		Drogo Baggins
359	TA 2890	TA 2981	Male			Sigismond Took	Hobbits		Unnamed wife
455	TA 2880	TA 2982	Male			Adalgrim Took	Hobbits		Unnamed wife
138	TA 2886	TA 2984	Male			Ecthelion II	Men		Unnamed wife
226	TA 2894	TA 2986	Male			Jago Boffin	Hobbits		Unnamed wife
34	TA 2950	TA 2988	Female	Dark		Finduilas of Dol Amroth	Men		Denethor II
373	TA 2763	TA 2994	Male	White		Balin	Dwarves		
209	TA 2774	TA 2994	Male			Óin	Dwarves		
156	TA 2865	TA 2994	Male			Ori	Dwarves		
436	TA 2904	TA 2998	Female			Amaranth Brandybuck	Hobbits		None
309	TA 2903	TA 2999	Male			Falco Chubb-Baggins	Hobbits		Unnamed wife
219	TA 2904	TA 3000	Male			Wilibald Bolger	Hobbits		Prisca Baggins
286	TA 2908	TA 3001	Male			Gorbulas Brandybuck	Hobbits		Unnamed wife
211	TA 2961	TA 3002	Male	Blond		Éomund	Men		Théodwyn
229	TA 2904	TA 3004	Female			Gerda (Boffin) Bolger	Hobbits		Adalbert Bolger
67	TA 2904	TA 3005	Male	Brown Gray (movie)		Odo Proudfoot	Hobbits		Mrs. Proudfoot
299	TA 2907	TA 3007	Female	Blonde (film)	"Unknown (book) 1.66m (5'5"") (film)"	Gilraen	Men		Arathorn II
374	TA 2925	TA 3007	Male	Brown (film)	"1.76m / 5'9"" (film)"	Bain	Men	Dale	Unnamed wife
489	TA 2911	TA 3009	Male			Dudo Baggins	Hobbits		Unnamed wife
439	TA 2913	TA 3010	Male			Bruno Bracegirdle	Hobbits		Unnamed wife
553	TA 2917	TA 3010	Male			Adrahil II	Men		Unnamed wife
149	TA 2910	TA 3012	Male		"1.22m (4'0"")"	Otho Sackville-Baggins	Hobbits		Lobelia Sackville-Baggins
